,open,close,close_open
48,2021-11-18 14:20:37,2021-11-19 01:30:23,0 days 11:09:46
49,2021-11-20 14:20:53,2021-11-20 16:13:37,0 days 01:52:44
50,2021-11-20 22:35:00,2021-11-20 22:41:07,0 days 00:06:07
51,2021-11-20 22:41:14,2021-11-20 23:58:56,0 days 01:17:42
52,2021-11-21 07:25:29,2021-11-21 09:00:05,0 days 01:34:36
53,2021-11-21 14:10:15,2021-11-22 03:23:17,0 days 13:13:02
54,2021-11-22 13:39:09,2021-11-23 03:22:21,0 days 13:43:12
55,2021-11-23 09:16:21,2021-11-23 09:47:58,0 days 00:31:37
56,2021-11-23 16:59:52,2021-11-23 19:13:16,0 days 02:13:24
57,2021-11-23 20:30:57,2021-11-23 21:17:37,0 days 00:46:40
58,2021-11-24 22:02:49,2021-11-25 04:13:45,0 days 06:10:56
59,2021-11-25 15:12:49,2021-11-25 17:46:49,0 days 02:34:00
60,2021-11-25 18:13:31,2021-11-26 00:35:13,0 days 06:21:42
61,2021-11-26 13:38:10,2021-11-26 15:19:14,0 days 01:41:04
62,2021-11-26 16:21:33,2021-11-27 03:23:49,0 days 11:02:16
63,2021-11-28 14:52:34,2021-11-28 15:16:10,0 days 00:23:36
64,2021-11-28 23:41:10,2021-11-29 02:20:01,0 days 02:38:51
65,2021-11-29 14:07:24,2021-11-29 14:45:21,0 days 00:37:57
66,2021-11-30 14:21:17,2021-11-30 15:45:44,0 days 01:24:27
67,2021-12-01 13:39:57,2021-12-01 17:03:01,0 days 03:23:04
68,2021-12-01 17:10:07,2021-12-01 17:53:05,0 days 00:42:58
69,2021-12-02 17:57:05,2021-12-03 03:26:20,0 days 09:29:15
70,2021-12-03 13:50:28,2021-12-04 03:25:23,0 days 13:34:55
71,2021-12-04 13:47:59,2021-12-04 20:33:49,0 days 06:45:50
72,2021-12-05 14:47:37,2021-12-06 04:22:43,0 days 13:35:06
73,2021-12-06 14:35:40,2021-12-07 03:28:49,0 days 12:53:09
74,2021-12-07 14:01:02,2021-12-08 03:01:34,0 days 13:00:32
75,2021-12-10 15:05:29,2021-12-10 15:24:56,0 days 00:19:27
76,2021-12-10 18:11:02,2021-12-10 19:33:14,0 days 01:22:12
77,2021-12-10 19:36:18,2021-12-10 19:39:35,0 days 00:03:17
78,2021-12-10 19:50:48,2021-12-10 20:17:21,0 days 00:26:33
79,2021-12-10 20:23:57,2021-12-10 20:44:41,0 days 00:20:44
80,2021-12-10 20:48:12,2021-12-11 04:16:44,0 days 07:28:32
81,2021-12-11 13:44:57,2021-12-11 15:17:44,0 days 01:32:47
82,2021-12-11 16:31:40,2021-12-12 02:31:04,0 days 09:59:24
83,2021-12-12 14:59:43,2021-12-13 04:34:40,0 days 13:34:57
84,2021-12-13 13:37:08,2021-12-13 21:57:57,0 days 08:20:49
85,2021-12-13 23:24:14,2021-12-14 03:31:14,0 days 04:07:00
86,2021-12-14 15:56:47,2021-12-14 20:47:37,0 days 04:50:50
87,2021-12-15 14:06:53,2021-12-16 03:28:42,0 days 13:21:49
88,2021-12-16 14:14:42,2021-12-17 01:07:02,0 days 10:52:20
89,2021-12-19 13:27:35,2021-12-19 19:39:17,0 days 06:11:42
90,2021-12-19 20:30:21,2021-12-19 22:50:36,0 days 02:20:15
91,2021-12-22 22:08:47,2021-12-23 00:16:12,0 days 02:07:25
92,2021-12-23 15:23:00,2021-12-24 02:57:14,0 days 11:34:14
93,2021-12-24 13:14:19,2021-12-25 02:01:53,0 days 12:47:34
94,2021-12-26 13:43:14,2021-12-26 17:56:13,0 days 04:12:59
95,2021-12-27 14:28:37,2021-12-27 15:10:18,0 days 00:41:41
