,open,close,close_open
272,2022-07-04 13:55:55,2022-07-04 14:09:29,0
275,2022-07-05 20:18:54,2022-07-05 20:42:22,0
281,2022-07-10 16:53:01,2022-07-10 17:39:49,0
283,2022-07-24 19:51:36,2022-07-24 20:28:05,0
285,2022-07-29 12:12:54,2022-07-29 12:14:07,0
291,2022-08-02 20:22:54,2022-08-02 20:55:16,0
294,2022-08-06 01:02:44,2022-08-06 01:26:47,0
295,2022-08-09 16:30:11,2022-08-09 16:51:55,0
296,2022-08-10 19:45:56,2022-08-10 20:30:07,0
304,2022-08-21 19:37:18,2022-08-21 19:55:11,0
308,2022-08-25 16:42:06,2022-08-25 17:00:15,0
310,2022-08-26 16:24:57,2022-08-26 17:07:03,0
311,2022-08-26 18:25:27,2022-08-26 19:03:08,0
322,2022-09-08 11:43:50,2022-09-08 11:46:26,0
332,2022-09-12 21:47:44,2022-09-12 22:41:19,0
333,2022-09-15 16:52:46,2022-09-15 17:10:59,0
334,2022-09-15 17:34:45,2022-09-15 18:25:19,0
345,2022-09-29 18:50:49,2022-09-29 18:56:45,0
346,2022-09-29 23:02:02,2022-09-29 23:55:37,0
348,2022-09-30 21:17:19,2022-09-30 22:14:33,0
351,2022-10-01 18:10:12,2022-10-01 19:04:07,0
357,2022-10-12 11:45:18,2022-10-12 12:08:28,0
358,2022-10-12 15:56:14,2022-10-12 16:06:50,0
360,2022-10-17 23:27:31,2022-10-17 23:46:58,0
363,2022-10-21 16:13:47,2022-10-21 16:31:01,0
364,2022-10-21 18:44:31,2022-10-21 18:51:09,0
372,2022-10-30 20:19:41,2022-10-30 21:11:53,0
373,2022-10-30 22:25:04,2022-10-30 22:52:41,0
378,2022-11-06 14:24:59,2022-11-06 14:56:09,0
379,2022-11-06 15:02:58,2022-11-06 15:27:52,0
383,2022-11-10 15:27:46,2022-11-10 15:56:30,0
386,2022-11-11 18:15:05,2022-11-11 18:36:58,0
393,2022-11-14 19:51:40,2022-11-14 20:11:43,0
399,2022-11-19 14:48:51,2022-11-19 15:14:45,0
418,2022-12-13 17:54:22,2022-12-13 18:37:42,0
427,2022-12-20 13:22:33,2022-12-20 13:50:33,0
429,2022-12-21 16:12:38,2022-12-21 16:47:02,0
442,2023-01-01 22:58:05,2023-01-01 23:04:14,0
462,2023-01-20 14:10:03,2023-01-20 14:53:24,0
463,2023-01-20 15:00:25,2023-01-20 15:12:41,0
464,2023-01-20 15:33:31,2023-01-20 15:39:33,0
474,2023-01-30 22:59:55,2023-01-30 23:40:35,0
477,2023-01-31 23:51:56,2023-02-01 00:33:44,0
483,2023-02-08 13:56:53,2023-02-08 13:59:46,0
484,2023-02-08 14:04:30,2023-02-08 14:09:08,0
485,2023-02-08 20:51:22,2023-02-08 21:35:37,0
490,2023-02-11 17:54:17,2023-02-11 18:09:10,0
492,2023-02-12 10:00:39,2023-02-12 10:10:32,0
493,2023-02-12 11:56:42,2023-02-12 11:58:50,0
495,2023-02-17 02:17:32,2023-02-17 02:28:59,0
497,2023-02-21 03:10:47,2023-02-21 03:19:56,0
498,2023-02-24 00:28:32,2023-02-24 00:33:53,0
505,2023-02-28 20:15:29,2023-02-28 20:46:08,0
508,2023-03-03 20:18:08,2023-03-03 21:03:07,0
515,2023-03-12 01:06:14,2023-03-12 01:57:02,0
528,2023-04-01 00:58:56,2023-04-01 01:36:54,0
529,2023-04-01 18:19:23,2023-04-01 19:07:13,0
538,2023-04-11 17:49:27,2023-04-11 18:10:11,0
540,2023-04-13 17:29:26,2023-04-13 18:11:41,0
541,2023-04-13 18:34:54,2023-04-13 18:47:27,0
554,2023-04-24 18:58:19,2023-04-24 19:18:05,0
558,2023-04-26 18:48:27,2023-04-26 19:00:14,0
559,2023-04-26 19:06:45,2023-04-26 19:08:18,0
560,2023-04-26 19:21:15,2023-04-26 19:35:54,0
564,2023-04-28 16:56:29,2023-04-28 17:23:46,0
565,2023-05-03 18:36:19,2023-05-03 19:33:06,0
569,2023-05-15 20:06:09,2023-05-15 20:10:41,0
570,2023-05-15 20:25:28,2023-05-15 20:34:57,0
572,2023-05-15 22:57:47,2023-05-15 22:59:09,0
573,2023-05-15 23:07:27,2023-05-15 23:13:58,0
574,2023-05-15 23:37:55,2023-05-15 23:40:05,0
576,2023-05-24 18:21:32,2023-05-24 18:22:55,0
579,2023-05-27 16:45:56,2023-05-27 16:52:52,0
580,2023-05-27 19:00:49,2023-05-27 19:16:07,0
581,2023-05-27 19:39:43,2023-05-27 19:42:22,0
586,2023-06-03 00:40:39,2023-06-03 00:55:32,0
593,2023-06-23 20:27:50,2023-06-23 20:35:50,0
596,2023-06-24 23:44:33,2023-06-25 00:19:17,0
599,2023-06-29 19:48:13,2023-06-29 20:35:55,0
602,2023-07-04 17:13:55,2023-07-04 17:49:45,0
610,2023-07-16 19:05:23,2023-07-16 19:30:05,0
612,2023-07-17 23:27:09,2023-07-17 23:47:59,0
613,2023-07-18 00:00:56,2023-07-18 00:29:09,0
614,2023-07-18 19:12:10,2023-07-18 19:34:19,0
620,2023-07-28 23:18:01,2023-07-28 23:54:47,0
621,2023-07-30 19:14:22,2023-07-30 19:17:39,0
625,2023-08-04 17:41:52,2023-08-04 18:36:36,0
